X,GeneID,logFC_CK1a.ctrl,adjpval_CK1a.ctrl,logFC_CK1aL.ctrl,adjpval_CK1aL.ctrl,logFC_CK1e.ctrl,adjpval_CK1e.ctrl,logFC_CK1d.ctrl,adjpval_CK1d.ctrl,logFC_DVL3.ctrl,adjpval_DVL3.ctrl,logFC_CK1a.wnt3a,adjpval_CK1a.wnt3a,logFC_CK1aL.wnt3a,adjpval_CK1aL.wnt3a,logFC_CK1d.wnt3a,adjpval_CK1d.wnt3a,logFC_CK1e.wnt3a,adjpval_CK1e.wnt3a,logFC_DVL3.wnt3a,adjpval_DVL3.wnt3a
1302,PALD1,-3.361354,3.41E-06,-2.157929,0.000578904,-3.57694,1.96E-07,-1.834525,0.002288315,-0.1953114,0.746932,0.4507877,0.9991471,0.01549636,0.9983285,-0.4404355,0.9999914,0.8987006,0.8180636,0.2612497,0.9970706
1303,PALLD,-0.9015099,0.224528,-1.37163,0.04708373,0.4899872,0.4727142,-1.274349,0.05716981,3.205177,1.18E-05,-0.4083876,0.9991471,-0.4408792,0.9983285,-0.6182848,0.9999914,-0.1740581,0.9940709,0.1458552,0.9970706
1304,PALM2,0.4046377,0.7050355,2.304475,0.01688987,0.7949775,0.3958915,-0.3153198,0.7460182,-0.1799178,0.851956,1.259758,0.9991471,-1.905675,0.7590934,0.7970633,0.9999914,0.2561629,0.9940709,0.06507037,0.9970706
1305,PAN2,-0.8421445,0.4146263,1.086343,0.2498201,-0.7087201,0.4452035,0.242906,0.7996911,2.57521,0.005481028,-0.6659041,0.9991471,-0.09042154,0.9983285,1.706254,0.9999163,1.525071,0.7606656,0.2622316,0.9970706
1306,TENT4A,2.307008,0.001002703,0.2326629,0.7217101,1.412067,0.02201722,1.502682,0.01516946,4.682231,1.17E-09,-0.2339764,0.9991471,1.273555,0.7372223,-0.4570565,0.9999914,-0.04230568,0.9940709,-0.2058234,0.9970706
1307,PAPOLA,-4.669314,1.56E-08,-4.61929,4.02E-09,-5.162977,1.73E-10,-4.708186,1.48E-09,-6.227893,9.30E-13,-0.2676615,0.9991471,1.432731,0.6034041,-0.2911706,0.9999914,0.684274,0.940515,0.341706,0.9970706
1308,PAPOLG,-3.467394,8.29E-06,-2.276313,0.00081983,-4.332774,2.17E-08,-2.481569,0.000232427,-5.22691,2.05E-10,0.04486753,0.9991471,0.4401671,0.9983285,-0.6264588,0.9999914,0.03679301,0.9940709,-0.598777,0.9970706
1309,PAPSS1,-2.424778,0.000293276,-3.484377,3.32E-07,-2.30883,0.000174909,-2.952646,4.51E-06,-3.418119,2.64E-07,-0.8897944,0.9991471,0.2520971,0.9983285,0.8924939,0.9999914,-0.1960457,0.9940709,0.4126967,0.9970706
1310,PARD3,1.321723,1.19E-07,1.190873,2.02E-07,1.817394,7.00E-12,1.714017,3.15E-11,1.990991,4.57E-13,-0.06725953,0.9991471,0.09256444,0.9983285,-0.02059438,0.9999914,0.1005144,0.9940709,-0.04907851,0.9970706
1311,PARD3B,1.769626,0.04025825,1.225203,0.126737,4.243698,1.89E-06,1.45874,0.06146716,4.220643,1.54E-06,-0.01586793,0.9991471,0.270967,0.9983285,0.4840263,0.9999914,-1.26404,0.7849438,-0.1259855,0.9970706
