X,GeneID,logFC_CK1a.ctrl,adjpval_CK1a.ctrl,logFC_CK1aL.ctrl,adjpval_CK1aL.ctrl,logFC_CK1e.ctrl,adjpval_CK1e.ctrl,logFC_CK1d.ctrl,adjpval_CK1d.ctrl,logFC_DVL3.ctrl,adjpval_DVL3.ctrl,logFC_CK1a.wnt3a,adjpval_CK1a.wnt3a,logFC_CK1aL.wnt3a,adjpval_CK1aL.wnt3a,logFC_CK1d.wnt3a,adjpval_CK1d.wnt3a,logFC_CK1e.wnt3a,adjpval_CK1e.wnt3a,logFC_DVL3.wnt3a,adjpval_DVL3.wnt3a
1,A0A140TA62,3.486511843,8.55E-09,2.097501843,2.59E-05,2.283253781,5.26E-06,2.320543192,3.70E-06,2.576634925,4.67E-07,0.117193908,0.999147126,0.77705854,0.932428269,-0.2510252,0.999991444,0.382100483,0.969285799,-0.168637964,0.997070617
2,AAGAB,-2.32511626,0.029079748,-0.458625479,0.652669108,-3.04064069,0.002331167,-1.792135645,0.06265953,-0.918580739,0.344967658,-0.002332986,0.999147126,0.033614551,0.998328456,0.162115697,0.999991444,1.763272722,0.738549153,1.071911846,0.997070617
3,AAK1,0.007096596,0.974054683,0.26236055,0.168325788,0.600304391,0.001810961,-0.411221854,0.027013239,0.399017057,0.031241174,-0.167503419,0.999147126,-0.141586133,0.998328456,-0.00632361,0.999991444,-0.430636116,0.556215335,0.170828704,0.997070617
4,AAR2,0.775126747,0.252610242,-0.478509598,0.455508469,-0.16638945,0.798334699,0.005818761,0.992468143,-1.622799258,0.008550374,0.042092114,0.999147126,-0.207303976,0.998328456,0.471772913,0.999991444,0.357693122,0.994070948,0.437864831,0.997070617
5,AARS1,-0.967797492,0.139159627,-1.041850208,0.087414722,-1.120467468,0.05905396,-1.6890214,0.005277741,-2.061518983,0.00076597,0.648575418,0.999147126,-0.587774509,0.998328456,1.127553611,0.977641493,0.441508236,0.993534608,0.539887774,0.997070617
6,AASDH,-2.328569276,0.000150659,-2.894174392,1.79E-06,-1.990606282,0.000333087,-1.860496908,0.000668354,-3.004721847,5.01E-07,1.714811415,0.299412597,-0.000708686,0.99932903,0.050937318,0.999991444,0.50471112,0.94826547,-0.505684642,0.997070617
7,AASDHPPT,-2.84910831,0.004195651,-3.718985507,0.00012242,-3.679166806,0.000111691,-4.28621525,1.16E-05,-3.621434442,0.000108949,0.002277149,0.999147126,0.961473244,0.998328456,0.313455468,0.999991444,-0.655629977,0.993534608,0.148018081,0.997070617
8,AATF,-2.106020748,0.045068752,-1.999458051,0.041484461,-2.149030105,0.024790223,-2.433004733,0.01156654,-3.789672676,0.000156332,0.290969396,0.999147126,1.240680286,0.998328456,0.349611339,0.999991444,-0.702624932,0.994070948,0.68170347,0.997070617
9,ABCA12,1.990259664,0.016376437,1.981477697,0.0110028,1.617052003,0.031524288,0.991930909,0.18430134,0.382409976,0.618285248,0.378723052,0.999147126,0.077073032,0.998328456,0.36756605,0.999991444,-0.488334455,0.994070948,-0.015551909,0.997070617
10,ABCD3,-1.692389705,0.010638867,-1.764752042,0.004742336,-1.752265442,0.00424005,-1.632897912,0.007031603,-2.802155299,1.51E-05,0.255577981,0.999147126,-0.384470535,0.998328456,0.052633877,0.999991444,-0.51532685,0.969285799,-0.679598002,0.997070617
11,ABCE1,-1.646252597,0.051331973,-2.21000757,0.005837694,-2.650171856,0.000953945,-2.787636075,0.000517027,-3.526338568,2.07E-05,-0.363760139,0.999147126,0.383798652,0.998328456,0.193947489,0.999991444,0.236515462,0.994070948,-0.449682915,0.997070617
12,ABCF1,-1.086207067,0.000349585,-1.272141584,1.52E-05,-0.775689661,0.003964064,-1.325073608,5.61E-06,-1.182988693,2.69E-05,0.119674185,0.999147126,-0.307327654,0.998328456,-0.303857187,0.999991444,0.042567362,0.994070948,0.046481597,0.997070617
13,ABCF2,-1.763507343,0.090939428,-0.682873873,0.492329314,-1.188206809,0.208967328,-0.909728812,0.338914571,-0.189698705,0.847414706,-1.866185377,0.85515344,-0.252564083,0.998328456,0.068295526,0.999991444,0.268290666,0.994070948,-0.1335433,0.997070617
14,ABCF3,-0.155264175,0.859874343,-1.160153305,0.129897304,-0.999806776,0.179083976,-0.00754093,0.992468143,0.64040958,0.396804426,0.314092238,0.999147126,0.27697815,0.998328456,-0.212472294,0.999991444,0.126609001,0.994070948,0.343412107,0.997070617
15,ABL2,-1.198843983,0.150045534,-2.449420024,0.00216485,-0.671318025,0.376527859,3.166997307,9.27E-05,-0.842050212,0.266649755,-0.282122262,0.999147126,-1.389807016,0.887752927,-0.112185887,0.999991444,-0.912988127,0.903050647,-0.557772478,0.997070617
16,ABLIM1,-2.784262398,0.002059733,-1.584104281,0.053291152,-1.869050077,0.019938402,-2.216360058,0.006264091,-1.066978245,0.181476992,0.507283768,0.999147126,-0.780615041,0.998328456,0.025823656,0.999991444,0.703998854,0.966718273,-1.529474363,0.804344353
17,ABR,1.125297485,0.000219793,1.935185299,5.02E-09,0.649951658,0.013646252,0.837625242,0.001876729,1.918065762,2.81E-09,-0.057984183,0.999147126,0.004100125,0.998328456,0.124672179,0.999991444,0.192983906,0.993534608,0.031969069,0.997070617
18,ACACA,0.518608451,0.026092435,0.885903818,0.000122609,0.343376216,0.102152099,0.985427642,2.04E-05,0.195354854,0.358161401,0.292246095,0.999147126,0.188775021,0.998328456,-0.021461043,0.999991444,0.338341599,0.7915442,0.130400498,0.997070617
19,ACACB,4.577623796,2.24E-17,2.978397648,8.78E-13,3.363426259,1.72E-14,3.463783635,6.64E-15,2.465734914,6.28E-11,0.241068116,0.999147126,0.215160986,0.998328456,0.007046804,0.999991444,0.473617236,0.765316104,0.392123096,0.997070617
20,ACIN1,-2.623130351,1.16E-08,0.114649238,0.754149132,-0.417030848,0.219804204,0.104201466,0.769153046,-7.910268213,1.08E-23,0.07009015,0.999147126,-0.097937579,0.998328456,-0.084083118,0.999991444,0.233254958,0.994070948,0.080120468,0.997070617
21,ACLY,-5.216269344,8.22E-08,-2.58444303,0.001081267,-5.049377238,2.23E-08,-4.105413725,1.24E-06,-1.005816146,0.176073629,0.745979381,0.999147126,-0.349434466,0.998328456,-0.379683173,0.999991444,0.324511449,0.994070948,0.181946676,0.997070617
22,ACO2,3.488281195,0.001962582,3.600629206,0.000710629,1.734391286,0.079886323,2.906415167,0.00421591,3.567785007,0.000526526,0.798964258,0.999147126,0.190028196,0.998328456,1.182898152,0.999991444,-0.088438521,0.994070948,-1.01479823,0.997070617
23,ACOT1,-4.78508365,1.56E-07,-4.79098946,3.15E-08,-4.998871619,8.37E-09,-4.231334921,2.53E-07,-4.208906433,2.25E-07,0.418007831,0.999147126,-0.910171566,0.998328456,0.885306255,0.999991444,0.719299496,0.94826547,-0.003748417,0.998532422
24,ACOT7,-0.547544949,0.558444637,-2.242560757,0.009066214,-1.040067708,0.207188213,-1.055796789,0.199864098,-1.441687608,0.079984676,-0.009779048,0.999147126,0.56441767,0.998328456,-0.258816982,0.999991444,0.301440864,0.994070948,-0.504839218,0.997070617
25,ACTA1,4.625019631,2.08E-07,1.93503745,0.007209273,3.091630806,3.95E-05,3.466360635,6.27E-06,2.336219347,0.000988271,-0.328424293,0.999147126,0.705626434,0.998328456,0.06873205,0.999991444,0.553932323,0.980771353,0.416643085,0.997070617
26,ACTB,3.412924936,1.06E-11,1.547355244,2.82E-05,2.011939765,2.41E-07,1.496551604,3.38E-05,1.835500424,9.92E-07,-0.362458101,0.999147126,0.265754583,0.998328456,0.010136444,0.999991444,-0.133156861,0.994070948,-0.161527784,0.997070617
27,ACTN2,4.450725246,0.001476902,0.429270206,0.744031411,4.135337116,0.001257874,1.082710358,0.38346378,1.363942726,0.268630452,0.188649825,0.999147126,-0.141376428,0.998328456,-0.029964622,0.999991444,-2.429840421,0.713325454,2.873851038,0.6146802
28,ADAR,-2.413279561,0.00010704,-1.598104442,0.003986304,-2.231711827,8.76E-05,-2.412927618,2.80E-05,-3.29355463,9.95E-08,-0.640412138,0.999147126,-0.382459119,0.998328456,-0.025266414,0.999991444,0.013419586,0.995726943,-0.441027882,0.997070617
29,ADD1,-2.872539177,0.00018372,0.248966008,0.721710082,-3.523419192,2.25E-06,-4.001499944,1.93E-07,-1.752141063,0.007980272,0.244217562,0.999147126,-0.358187551,0.998328456,-0.138264093,0.999991444,-0.028519443,0.99424323,-0.089800397,0.997070617
30,ADD3,-2.362602384,4.87E-05,-0.113853375,0.832578918,-0.500494123,0.304711169,-1.391053145,0.005174881,-3.054969246,9.19E-08,-0.233138628,0.999147126,-0.009281781,0.998328456,-0.212316983,0.999991444,-0.572134262,0.916544378,0.071703781,0.997070617
31,ADNP,-0.948053917,0.001650802,0.506827494,0.062467655,-1.378285927,3.90E-06,-1.364765307,4.24E-06,-3.847124353,2.65E-17,0.169573514,0.999147126,0.095635954,0.998328456,-0.048328956,0.999991444,-0.184299035,0.994070948,-0.522512501,0.804344353
32,GRK2,-2.156784665,2.23E-06,-3.39263716,1.99E-11,-2.669254742,4.49E-09,0.163354955,0.666414054,1.671606052,2.25E-05,-0.323512741,0.999147126,0.771594991,0.735205461,-0.388823566,0.999991444,0.645046806,0.743726687,0.181571307,0.997070617
33,AFF1,-0.499739792,0.446315605,-1.372273,0.023051469,-1.641671554,0.005983634,-1.336987807,0.022794813,-2.479577511,6.51E-05,-0.767742746,0.999147126,-0.064423504,0.998328456,0.34777459,0.999991444,0.415298708,0.994070948,0.217038387,0.997070617
34,AFF4,-6.197487336,9.25E-13,-0.550845763,0.33474832,-6.540633935,1.28E-14,-3.844101064,1.16E-08,-5.896832379,2.01E-13,-0.157473406,0.999147126,-0.569874712,0.998328456,-0.463596959,0.999991444,0.852784835,0.813168253,-0.220725864,0.997070617
35,AFTPH,2.468773625,1.39E-08,2.982645977,2.40E-11,2.413698232,2.77E-09,1.9315775,2.98E-07,-0.243223177,0.458730122,0.412594243,0.999147126,-0.059675723,0.998328456,0.111818559,0.999991444,-0.582859955,0.738549153,0.661993892,0.771688467
36,AGAP1,0.833019859,0.18188508,-0.299662427,0.615920339,3.127596915,1.34E-06,3.881867059,1.60E-08,4.472649858,4.96E-10,0.516601727,0.999147126,0.286575207,0.998328456,-0.005993252,0.999991444,-0.685322033,0.903050647,0.657696839,0.997070617
37,AGAP3,0.427906148,0.527416549,-1.599264844,0.010103334,-0.169834754,0.789297537,-0.322511122,0.604094479,3.848240671,5.15E-08,-1.00156416,0.999147126,0.762870308,0.998328456,-0.452064203,0.999991444,0.218186782,0.994070948,-0.028360615,0.997070617
38,AGFG1,-1.147546454,0.000268052,-1.47370408,2.33E-06,-1.337667946,8.88E-06,-1.393650698,4.17E-06,-0.842627689,0.002239861,0.0329176,0.999147126,0.117669377,0.998328456,0.288255019,0.999991444,-0.061486145,0.994070948,-0.032111804,0.997070617
39,AGO2,0.404983819,0.611907823,4.84590401,2.33E-08,3.105835616,4.60E-05,5.08137261,5.04E-09,6.354836065,1.71E-11,0.353105694,0.999147126,-0.842096306,0.998328456,0.159474403,0.999991444,1.051884329,0.836514398,-0.284729393,0.997070617
40,AGO3,1.890417979,0.004595518,0.655907416,0.284746474,1.014823423,0.086611388,1.559341819,0.009572196,4.087510304,1.27E-08,-0.292844255,0.999147126,0.275731901,0.998328456,-0.748630241,0.999991444,0.511731614,0.969285799,-0.062044362,0.997070617
41,AGTPBP1,0.649893422,0.351063322,0.437476544,0.506052392,0.948014051,0.128383779,1.599555869,0.011570604,4.546609919,3.84E-09,-1.148646994,0.907564933,0.844805494,0.998328456,0.023594896,0.999991444,1.232903235,0.713325454,0.157341803,0.997070617
42,AHCTF1,4.064193824,1.73E-06,-0.132714946,0.859986917,-1.621093327,0.017932354,-2.221502754,0.00157631,-3.998840507,3.13E-07,-0.173350321,0.999147126,0.130762483,0.998328456,0.780154393,0.999991444,-0.151200112,0.994070948,-0.21376448,0.997070617
43,AHCY,-2.158890118,0.016232625,-2.401351302,0.00475367,-3.13936966,0.000273996,-2.986638188,0.000458225,-5.133901715,7.47E-08,-0.80157245,0.999147126,0.342972612,0.998328456,0.366253519,0.999991444,-0.093761004,0.994070948,-1.102906763,0.997070617
44,AHCYL1,0.648763924,0.649834356,0.558769738,0.673041587,0.492305583,0.707154149,0.620247203,0.633140229,-0.095938417,0.939915671,-0.543764449,0.999147126,0.632055786,0.998328456,-0.622535104,0.999991444,-0.469178441,0.994070948,-2.215870737,0.823799548
45,AHI1,2.639467082,0.000202783,0.742159035,0.235098674,1.417391736,0.020593761,1.788718927,0.00401678,1.013852045,0.094452664,-0.074598517,0.999147126,1.003994478,0.998328456,0.531295428,0.999991444,-0.268765793,0.994070948,2.908592961,0.002575009
46,AHNAK,-0.306877367,0.264168784,-0.949185244,0.000399726,-0.681958964,0.007137878,-1.273444982,4.60E-06,-0.264960524,0.289079291,-0.070907093,0.999147126,-0.002649978,0.998328456,-0.07346121,0.999991444,0.14454784,0.994070948,0.026721398,0.997070617
47,AHNAK2,2.314933941,0.003238398,1.235042165,0.084415863,0.217282788,0.768161808,-0.139228208,0.85032041,0.505217251,0.475913147,-0.376870742,0.999147126,0.48412654,0.998328456,1.248810196,0.999991444,0.398931331,0.994070948,0.210767801,0.997070617
48,AHSA1,-1.330688878,0.159373599,0.301368879,0.742364443,-1.863098233,0.030348724,-0.37547956,0.673043391,-1.858598448,0.030094701,0.057395017,0.999147126,-0.554101609,0.998328456,0.141040783,0.999991444,0.570695343,0.994070948,0.387139153,0.997070617
49,AIMP1,-4.886243584,9.23E-10,-5.008947659,7.11E-11,-5.025127996,4.09E-11,-4.675731098,2.38E-10,-6.09671091,1.77E-13,0.187119191,0.999147126,-0.084611893,0.998328456,0.031832223,0.999991444,0.431968852,0.991764525,0.249291529,0.997070617
50,AK9,1.023177982,0.306830465,-2.33018547,0.012989551,-1.254240089,0.163799762,-0.689482636,0.45404133,-2.639217547,0.003970061,-1.440992049,0.999147126,0.675209709,0.998328456,-0.971415861,0.999991444,-0.051231648,0.994070948,1.817229132,0.804344353
51,AKAP1,-2.645804567,5.53E-06,0.302847391,0.544148832,0.756508145,0.108459204,0.038978105,0.943105604,-2.183522384,2.01E-05,-0.472598404,0.999147126,-0.290431059,0.998328456,0.237837452,0.999991444,-0.57499931,0.903050647,0.249747966,0.997070617
52,AKAP10,1.38515287,0.05923377,3.943208031,5.24E-07,1.248521661,0.060760261,1.169417803,0.078560368,0.042541284,0.948945935,1.043026874,0.999147126,1.028653382,0.998328456,-0.425460676,0.999991444,0.688864446,0.94826547,0.276489992,0.997070617
53,AKAP11,3.261629557,6.24E-13,3.139497746,1.98E-13,3.032623165,3.12E-13,3.037258418,2.91E-13,2.48099745,5.19E-11,0.251298041,0.999147126,-0.063931515,0.998328456,-0.214700179,0.999991444,0.476152934,0.760665602,0.114816585,0.997070617
54,AKAP12,-4.754270556,1.43E-09,-1.698893319,0.004002185,-3.541443075,1.10E-07,-4.339992178,1.17E-09,-4.951747172,3.53E-11,1.352671414,0.693085284,0.030303337,0.998328456,-0.384087741,0.999991444,-0.183985364,0.994070948,-0.808086301,0.984299015
55,AKAP13,1.031884056,0.109026047,1.239823942,0.039298361,1.121667653,0.054793703,0.1276953,0.835454754,2.653509472,2.53E-05,-1.440690185,0.693085284,-0.194746327,0.998328456,-0.612816352,0.999991444,0.282952649,0.994070948,0.126001477,0.997070617
56,AKAP2,-1.801182555,0.021853675,0.930708649,0.203512502,-0.725540027,0.306834888,-2.599755862,0.000485901,-1.765173032,0.013369317,0.61609767,0.999147126,0.240878144,0.998328456,-0.192583934,0.999991444,-0.301349084,0.994070948,-0.304285435,0.997070617
57,AKAP3,-2.599033153,0.002197589,-2.773273314,0.000571671,-2.67859565,0.000673757,-1.83986059,0.01507946,-3.047583567,0.000116699,1.204507232,0.999147126,0.057310236,0.998328456,-0.78070126,0.999991444,0.123854883,0.994070948,-0.351739589,0.997070617
58,AKAP8,0.761687434,0.424480586,0.621717854,0.484008128,-0.029210087,0.976046562,1.640596871,0.052171825,-3.292449357,0.000207869,0.112048184,0.999147126,-0.117633822,0.998328456,-0.013678857,0.999991444,1.045826712,0.889543169,0.038475538,0.997070617
59,AKAP9,1.876600848,0.004707196,0.967680456,0.111140121,6.103975644,6.87E-13,7.795916209,5.64E-16,0.152037286,0.805550954,-0.198145027,0.999147126,0.049201298,0.998328456,-0.050412421,0.999991444,0.022839059,0.99424323,0.830484827,0.997070617
60,ALDH18A1,-2.115234017,0.036625155,0.098374195,0.924519942,-0.995143874,0.277505237,-0.391716317,0.681402028,-0.864259914,0.349867078,-0.144923949,0.999147126,0.362402874,0.998328456,-0.17375858,0.999991444,0.971680909,0.947250728,0.751727971,0.997070617
61,ALDH9A1,-0.952461591,0.147443709,-1.906336354,0.002485726,-1.722626202,0.004884085,-1.18079534,0.047530627,-3.123197207,2.58E-06,-0.03951487,0.999147126,0.040865743,0.998328456,-0.982982063,0.999991444,-0.274999342,0.994070948,0.91573348,0.93105441
62,ALDOA,4.039176188,1.57E-05,2.032110543,0.011352761,-0.324286888,0.687623571,0.120312888,0.884183049,-0.918166599,0.235791009,-1.262845568,0.999147126,0.814782966,0.998328456,0.486256006,0.999991444,0.666873664,0.969285799,0.386062693,0.997070617
63,ALMS1,3.229545974,1.85E-05,3.372101997,2.71E-06,2.342503302,0.000393394,1.156318318,0.063148036,3.653229388,3.51E-07,-0.131706593,0.999147126,-1.404260438,0.625614153,0.118075484,0.999991444,-0.106523141,0.994070948,0.102998226,0.997070617
64,AMER1,6.414115266,9.70E-09,4.170459264,8.49E-06,2.483733653,0.003518784,2.179087166,0.009274653,0.93983666,0.25788278,-3.144984336,0.149709078,-1.707038436,0.754836047,-0.285504104,0.999991444,-0.493511194,0.994070948,0.320271133,0.997070617
65,AMOT,2.345317206,2.72E-09,6.025948069,2.75E-22,6.231812718,5.51E-23,7.632449378,7.99E-26,7.706563879,6.73E-26,-0.089743239,0.999147126,0.105971012,0.998328456,0.050135898,0.999991444,0.234882681,0.97723317,-0.008765864,0.997070617
66,AMOTL1,2.234527265,1.29E-09,0.215775279,0.430720965,6.071088799,1.08E-23,1.692535628,6.50E-08,1.095119217,8.38E-05,0.190227675,0.999147126,0.277821044,0.998328456,0.204259264,0.999991444,0.161598245,0.994070948,-0.375703355,0.98551184
67,AMPD2,-4.146553685,5.91E-07,-3.859800228,5.33E-07,-3.837595944,4.49E-07,-4.532363577,1.32E-08,-4.030154883,1.24E-07,0.291489154,0.999147126,-1.060260607,0.998328456,0.045859881,0.999991444,-0.962412305,0.836514398,-0.493763747,0.997070617
68,ANAPC1,1.150949867,5.64E-06,0.678473592,0.001892786,0.725271899,0.000797932,1.088456501,2.80E-06,0.285476115,0.167059119,0.238778237,0.999147126,0.037040979,0.998328456,0.204351728,0.999991444,-0.076531594,0.994070948,0.154062803,0.997070617
69,ANK2,-2.113821925,0.050481082,-2.363525288,0.019776516,-2.282916335,0.02072577,-2.499258211,0.011638162,-4.124626216,7.33E-05,0.108713107,0.999147126,-0.320328185,0.998328456,0.282414548,0.999991444,0.005734591,0.997581352,-0.218909102,0.997070617
70,ANK3,-0.515746831,0.33664657,1.435084295,0.004632719,1.681762556,0.000891346,-0.146468686,0.770304667,-4.017595467,1.52E-10,-0.971672985,0.847058691,0.116516836,0.998328456,-1.825390349,0.091300599,0.499122312,0.94826547,0.146124745,0.997070617
71,ANKFY1,0.164212765,0.903160574,-0.781604312,0.510521386,2.320248719,0.040753306,1.623503863,0.149726824,3.602465056,0.001854369,0.452312985,0.999147126,0.504641313,0.998328456,0.341129951,0.999991444,-1.014486353,0.966156547,0.432126864,0.997070617
72,ANKHD1,0.674492095,0.002268432,0.319762383,0.110487961,0.786698713,0.000165548,0.524977875,0.008029739,2.486809072,1.39E-15,-0.131311246,0.999147126,0.118456529,0.998328456,-0.180598445,0.999991444,0.084197963,0.994070948,0.046730827,0.997070617
73,ANKLE2,-2.226480988,0.001266272,-3.730287,2.35E-07,-3.140913819,4.05E-06,-1.917435113,0.002124216,1.352069913,0.02540694,-0.615230436,0.999147126,0.144908443,0.998328456,-0.020635348,0.999991444,-0.226065411,0.994070948,0.031467097,0.997070617
74,ANKRD11,2.761700441,0.000235017,6.043634073,1.51E-11,0.47360166,0.469036582,0.157637332,0.814632709,-0.941637425,0.143136007,1.139305224,0.956207381,-0.310308134,0.998328456,0.553395857,0.999991444,0.415690544,0.994070948,1.064220445,0.878681364
75,ANKRD17,1.796464607,3.40E-06,0.956132258,0.003578377,1.750587116,1.06E-06,1.589137926,5.08E-06,3.054451935,2.29E-12,0.16543219,0.999147126,-0.122243199,0.998328456,-0.202249377,0.999991444,0.24063393,0.991247622,-0.047385343,0.997070617
76,ANKRD26,6.24323074,1.93E-12,6.798433348,1.82E-14,7.90391305,1.28E-16,8.762072639,4.71E-18,9.056882853,1.53E-18,-1.130332562,0.847058691,0.284451594,0.998328456,0.239247804,0.999991444,0.838911039,0.836514398,0.265951708,0.997070617
77,ANKRD27,-0.039386752,0.960842444,2.663111097,0.000250115,1.032175056,0.122255071,0.789499005,0.239010221,-1.429095145,0.032986577,1.285018672,0.868299003,-0.796369845,0.998328456,-0.087521912,0.999991444,-1.123683831,0.760665602,1.19069723,0.819121931
78,ANKRD28,3.52300007,4.14E-10,3.334095795,2.37E-10,4.50689541,4.12E-14,4.616907498,1.95E-14,-3.120488796,5.44E-10,-0.129430485,0.999147126,-0.022370319,0.998328456,0.119072798,0.999991444,-0.203630967,0.994070948,0.521442715,0.997070617
79,ANKRD50,7.92288387,2.46E-11,6.951658349,9.83E-11,-0.998152119,0.208967328,0.694801171,0.387592689,0.887620136,0.266649755,0.038892821,0.999147126,-0.10530994,0.998328456,-0.109800145,0.999991444,2.040605991,0.383039016,-2.48247974,0.184342137
80,ANKRD52,4.672882608,5.79E-09,3.641606735,2.15E-07,4.593573045,9.54E-10,4.171274127,8.17E-09,-0.231767754,0.701653832,-0.359346952,0.999147126,0.281087946,0.998328456,-0.273119005,0.999991444,0.175687249,0.994070948,0.854633954,0.970373011
81,ANKS1A,3.230429258,6.05E-16,3.454191474,7.69E-18,2.409608165,2.12E-13,2.569302045,3.31E-14,0.684667627,0.002663275,0.25810335,0.999147126,-0.005472022,0.998328456,0.175937181,0.999991444,0.085427214,0.994070948,-0.38248892,0.834740611
82,ANKS6,-1.069297739,0.306213883,-2.851177677,0.004042086,-0.558829161,0.565002684,-3.903110818,0.00011091,0.223644144,0.819354126,-0.884174541,0.999147126,1.011625022,0.998328456,2.196761123,0.84032144,-1.397427885,0.836514398,-0.246873049,0.997070617
83,ANLN,-3.168214371,3.04E-06,-4.201279483,2.28E-09,-4.178123387,1.55E-09,-5.053861095,1.32E-11,-5.733764376,3.51E-13,-0.128285651,0.999147126,0.127480951,0.998328456,0.801437461,0.999991444,-0.205481516,0.994070948,0.499801423,0.997070617
84,ANXA2,-1.319601524,0.235762023,-1.986693277,0.055369087,-4.153031863,0.000123709,-3.527969946,0.000792795,-1.109453955,0.27232443,-0.484137804,0.999147126,-0.334073769,0.998328456,-0.169131792,0.999991444,0.75502523,0.993534608,-0.680114423,0.997070617
85,AP2B1,0.620850942,0.438967583,-0.856999741,0.24234468,0.340447325,0.64592831,0.376409535,0.611522633,-0.257213583,0.726990103,-0.260117736,0.999147126,0.210395628,0.998328456,-0.415008818,0.999991444,0.199760098,0.994070948,-0.525071688,0.997070617
86,AP2M1,-3.046452353,0.004280959,-2.102688205,0.031808273,-3.221469881,0.001161797,-1.971857161,0.037973146,-4.087617389,5.40E-05,0.47652984,0.999147126,-1.412083074,0.998328456,0.749523679,0.999991444,0.561712031,0.994070948,0.427787779,0.997070617
87,AP3B1,-0.318506143,0.127107305,0.774894239,0.000172084,-0.004111984,0.984545355,-0.599253998,0.00215713,0.057247335,0.771645281,-0.147586455,0.999147126,-0.094383387,0.998328456,0.168495892,0.999991444,-0.093026512,0.994070948,0.014277719,0.997070617
88,AP3D1,-0.209275434,0.454210694,0.708444029,0.006379968,0.089160575,0.732762416,0.766984825,0.002674865,0.410090303,0.09810081,0.101044539,0.999147126,-0.087256845,0.998328456,-0.119858818,0.999991444,0.146651896,0.994070948,-0.031285199,0.997070617
89,AP3S1,-0.297525844,0.714071391,-2.722582064,0.000356944,-0.986354945,0.161118346,-1.238314065,0.078647515,-2.223683392,0.00203495,0.397010792,0.999147126,1.314978774,0.887752927,-0.45325394,0.999991444,-1.07661601,0.822109296,-0.13732593,0.997070617
90,AP4E1,4.947182883,1.46E-19,4.393416239,6.76E-19,0.145094667,0.592785931,1.427048574,1.77E-06,0.252593987,0.34114724,0.501313057,0.868945028,-0.015069144,0.998328456,-0.184755764,0.999991444,0.491102071,0.73456639,0.208039058,0.997070617
91,APBB1,-0.211313302,0.392925379,0.161556889,0.485043594,1.084561293,9.78E-06,0.929229619,8.67E-05,0.319718237,0.147122747,0.456925752,0.847058691,0.233475569,0.998328456,0.001694104,0.999991444,-0.123869031,0.994070948,0.151217533,0.997070617
92,APBB2,0.799560768,0.274606206,2.493928376,0.000467105,3.743549689,9.16E-07,2.603617649,0.000209333,-3.191848542,1.01E-05,-0.418367311,0.999147126,-0.092569822,0.998328456,0.165689584,0.999991444,0.844965932,0.889543169,1.156832288,0.825516206
93,APC,7.08526132,1.66E-31,6.149749164,1.85E-30,5.30001515,1.17E-28,5.464796389,4.28E-29,4.839962203,6.67E-27,-1.050550247,0.000166771,-1.402643598,2.44E-08,-0.359159014,0.842130899,-0.413024181,0.41279214,-0.785498373,0.002575009
94,API5,-1.749810985,0.001859983,-2.523704188,7.29E-06,-1.64046715,0.001462803,-1.480798751,0.003531142,-2.784948719,7.43E-07,0.209750547,0.999147126,0.01954948,0.998328456,-0.37307843,0.999991444,-0.175629113,0.994070948,-0.536154006,0.997070617
95,APOD,0.684233376,0.608921923,0.633015336,0.610757636,0.457109821,0.708950574,1.799539021,0.123960655,-1.877885346,0.108866129,0.246857639,0.999147126,-0.09931744,0.998328456,-1.397519786,0.999991444,0.697131252,0.994070948,0.283095478,0.997070617
96,APPL1,-1.246350828,0.038784434,-2.455217661,4.86E-05,-0.952887211,0.08047668,-1.874629212,0.000983286,-2.061595044,0.000303284,0.776053839,0.999147126,0.886592309,0.998328456,0.444281673,0.999991444,0.510318979,0.963982736,0.208076314,0.997070617
97,ARAF,-1.098728608,0.184020965,-1.014066208,0.188237818,-1.196921117,0.108058383,-1.437418665,0.054118549,-2.752784194,0.000401377,-0.406087947,0.999147126,-0.476066007,0.998328456,-0.393646616,0.999991444,-1.013218338,0.874639417,0.842305269,0.997070617
98,ARCN1,-3.121236845,1.49E-05,-1.133164689,0.063261403,-1.026985779,0.082888807,-2.33630129,0.000211274,-1.296216456,0.029102569,-0.146617639,0.999147126,0.499229413,0.998328456,-0.844444291,0.999991444,-0.7257627,0.903050647,-0.443029827,0.997070617
99,ARF3,2.02497859,0.007168075,1.392359432,0.04485386,1.868746412,0.006665231,1.731990607,0.011129781,2.755880556,0.000109254,-0.006663419,0.999147126,-0.203718824,0.998328456,0.360826091,0.999991444,-0.049371759,0.994070948,-0.355874267,0.997070617
100,ARFGAP1,-0.613490412,0.013992535,-0.935506328,0.000140668,-0.510826205,0.024072112,-1.472017001,4.79E-08,0.158117229,0.490171789,0.07603649,0.999147126,-0.055300315,0.998328456,0.222429289,0.999991444,-0.237700611,0.947250728,0.178846237,0.997070617
101,ARFGAP2,-0.107134864,0.750262826,-0.286154745,0.342648477,0.25620955,0.380675519,0.152728033,0.612729836,0.746589943,0.010693554,-0.203988347,0.999147126,-0.295607953,0.998328456,-0.236898964,0.999991444,-0.214916385,0.994070948,-0.074732252,0.997070617
