X,GeneID,MajorityProteinIDs,logFC_RIK.CTRL,adjpval_RIK.CTRL
131,ATP6V1H,Q9UI12,-0.59,0.805928899
132,ATXN2L,Q8WWM7,-0.43,0.896070268
133,AUP1,Q9Y679,5.96,0.001373777
134,AURKB,Q96GD4,4.83,0.036748979
135,BAG2,O95816,1.11,0.004083053
136,BAG4,O95429,-1.13,0.077602726
137,BCKDHA,P12694,3.34,0.099060492
138,BCLAF1,Q9NYF8,-1.59,0.076602088
139,BHLHE22,Q8NFJ8,6.77,0.001896106
140,BOLA2,Q9H3K6,-2.14,0.002525548
141,BRIX1,Q8TDN6,0.324,0.887922385
142,BSG,P35613,0.697,0.024457431
143,BTF3,P20290,-5.13,0.043596902
144,RTRAF,Q9Y224,-1.34,0.000880856
145,TIMM29,Q9BSF4,2,0.392630896
146,C1QBP,Q07021,1.03,0.035783467
147,C7orf50,Q9BRJ6,-1.09,0.670685704
148,CALML5,Q9NZT1,-0.275,0.898726501
149,CALR,P27797,-1.67,0.465820756
150,CALU,O43852,3.18,8.54e-05
151,CAND1,Q86VP6,-0.811,0.019409771
152,CANX,P27824,-0.0307,0.939593766
153,CAPRIN1,Q14444,-0.775,0.037777433
154,CAPZA1,P52907,1.92,0.340242397
155,CARM1,Q86X55,-1.28,0.137395744
156,ZNG1B,Q8IUF1,6.01,0.000450171
157,CBX3,Q13185,1.41,0.462138178
158,CCDC124,Q96CT7,-5.44,0.009440831
159,CCDC47,Q96A33,1.92,0.13258676
160,CCT2,P78371,-1.08,0.171798512
161,CCT3,P49368,0.935,0.01886226
162,CCT4,P50991,0.0765,0.920466639
163,CCT5,P48643,0.585,0.059307758
164,CCT6A,P40227,-0.272,0.573532441
165,CCT7,Q99832,-1.24,0.191691997
166,CCT8,P50990,-0.0289,0.935278091
167,CDC42EP1,Q00587,7.14,0.002110133
168,CDC45,O75419,5.59,0.007535499
169,CDC5L,Q99459,1.27,0.60264118
170,CDK1,P06493,0.762,0.040723436
171,CDO1,Q16878,0.125,0.501476929
172,CEBPZ,Q03701,0.675,0.785897176
173,CEP170,Q5SW79,2.46,0.144978043
174,CFL1,P23528,-1.48,0.6190931
175,CHCHD3,Q9NX63,0.836,0.22650634
176,CHD4,Q14839,0.507,0.437172704
177,CHERP,Q8IWX8,3.1,0.122855463
178,CHTOP,Q9Y3Y2,-2.43,0.00193383
179,CIRBP,Q14011,-1.03,0.213336003
180,CLINT1,Q14677,0.691,0.08521124
181,CLPTM1,O96005,1.5,0.470268267
182,CLTA,P09496,0.0187,0.96094078
183,CLTC,Q00610,0.692,0.046326255
184,COPA,P53621,1.76,0.000997173
185,COPB1,P53618,2.35,0.181050834
186,COPB2,P35606,6.35,0.00200098
187,COX17,Q14061,-2.68,0.219188599
188,COX5A,P20674,1.18,0.457335387
189,COX7A2,P14406,3.99,0.054750085
190,CPSF6,Q16630,-2.74,0.104982752
191,CPSF7,Q8N684,-1.22,0.002050347
192,CRBN,Q96SW2,-1.01,0.000329276
193,CS,O75390,10.4,0.000748982
194,CSE1L,P55060,-0.462,0.82347416
195,CSNK2A3,Q8NEV1,2.67,0.105878783
196,CSNK2B,P67870,5.77,0.006572607
197,CSRP2,Q16527,-2.42,0.137915292
198,CTPS1,P17812,0.639,0.027934948
199,CTR9,Q6PD62,4.63,1.69e-05
200,CTTN,Q14247,-0.189,0.939385066
201,CUBN,O60494,-2.71,0.046389111
202,CUL2,Q13617,-1.18,0.035850797
203,CUL3,Q13618,-1.68,0.046299561
204,CUL4B,Q13620,-1.25,0.000384673
205,CUL5,Q93034,-0.0688,0.967772839
206,CYC1,P08574,1.89,0.236968225
207,DAP3,P51398,-1.41,0.005347877
208,DARS1,P14868,0.02,0.96094078
209,DAZAP1,Q96EP5,-1.05,0.116856681
210,DCAF7,P61962,5.21,0.02312776
211,DCTN1,Q14203,1.96,0.385561495
212,DDB1,Q16531,-0.268,0.419695772
213,DDOST,P39656,1.13,0.007512198
214,DDX1,Q92499,-0.947,0.007439692
215,DDX17,Q92841,-0.602,0.015590229
216,DDX20,Q9UHI6,0.992,0.00044778
217,DDX21,Q9NR30,-0.481,0.071761849
218,DDX39A,O00148,1.3,0.006572607
219,DDX39B,Q13838,-0.102,0.953211961
220,DDX3X,O00571,-0.784,0.04374117
221,DDX5,P17844,-0.653,0.003784835
222,DDX6,P26196,-2.56,0.286420381
223,DERL2,Q9GZP9,3.06,0.111233814
224,DHCR7,Q9UBM7,3.56,0.035124687
225,DHX15,O43143,-0.224,0.450936481
226,DHX30,Q7L2E3,-0.878,0.001470651
227,DHX36,Q9H2U1,-4.36,0.045761443
228,DHX9,Q08211,-0.612,0.01930802
229,DIMT1,Q9UNQ2,-1.14,0.637368355
230,DIS3,Q9Y2L1,0.771,0.016515586
231,DKC1,O60832,-0.137,0.944015919
232,DLAT,P10515,-1.81,0.000231353
233,DNAJA2,O60884,1.62,0.004083053
234,DNAJA3,Q96EY1,3.46,2.49e-05
235,DNAJB11,Q9UBS4,5.89,0.010194331
236,DNAJB12,Q9NXW2,6.4,9.28e-05
237,DNAJB6,O75190,3.2,0.05583844
238,DNAJC10,Q8IXB1,-0.704,0.212244026
239,DNAJC7,Q99615,1.82,0.352390644
240,DPM1,O60762,3.23,2.89e-05
241,DPY30,Q9C005,-0.718,0.266068706
242,DUT,P33316,9.36,0.000135355
243,DYNC1H1,Q14204,1.21,0.001373777
244,DYNC1I2,Q13409,1.35,0.601879383
245,DYNC1LI1,Q9Y6G9,1.96,0.367069542
246,DYNC2H1,Q8NCM8,8.39,0.000505625
247,DYNLL1,P63167,0.828,0.160722984
248,DYNLRB1,Q9NP97,1.19,0.465247441
249,EBNA1BP2,Q99848,-2.79,0.13384671
250,EBP,Q15125,3.98,0.097903062
251,EEF1A1,P68104,-0.0468,0.889679044
252,EEF1B2,P24534,-1.34,0.013221523
253,EEF1D,P29692,0.815,0.803556883
254,EEF1E1,O43324,-0.704,0.031632534
