X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
52,DBNL,Q9UJU6,3.51e-05,6.24e-09,0.124986574,3.5e-08,8.71e-06,0.401,0.431,0.905,0.0243,0.117,2.16,3.48,0.716,3.21,2.37
53,DCP1B,Q8IZD4,2.35e-10,1.62e-13,0.554991014,0.562349407,0.436809905,0.00392,0.0479,0.945,0.893,0.872,4.17,5.52,0.282,0.277,0.372
54,DDRGK1,Q96HY6,0.90863636,0.290746378,0.744455055,0.605067751,2.03e-15,0.932,0.916,0.951,0.895,7.24e-09,0.0569,0.528,0.162,0.257,6.69
55,DLG1,Q12959,0.236565878,3.93e-11,8.74e-10,6.12e-15,5.11e-06,0.898,0.193,0.000575,6.44e-07,0.0945,0.728,5.73,5.04,7.91,3.26
56,DLG5,Q8TDM6,3.36e-13,5.47e-21,8.32e-16,1.2e-15,5.02e-11,7.19e-05,2.24e-05,9.09e-11,1.11e-07,0.000131,5.81,10.5,7.17,7.08,4.8
57,DNAJA2,O60884,0.021862985,0.91901264,0.011276541,0.595876537,3.77e-14,0.818,0.932,0.795,0.895,2.15e-07,-1.31,0.056,1.46,-0.293,6.71
58,DNAJB1,P25685,5.33e-13,9.37e-11,0.229662743,7.94e-08,3.85e-16,0.000102,0.23,0.923,0.0355,8.3e-10,5.26,4.32,0.577,3.2,6.78
59,DNAJC1,Q96KC8,0.510501354,0.265154296,0.777025549,0.534931232,4.42e-07,0.918,0.915,0.952,0.891,0.0315,-0.344,0.586,0.148,0.324,3.21
60,DNAJC7,Q99615,0.001198681,0.045356786,0.000157935,0.063521064,4.08e-11,0.666,0.893,0.407,0.81,0.000112,1.94,-1.14,-2.33,-1.05,5.19
61,DST,Q03001,0.320151617,3.27e-13,1.38e-10,9.19e-13,0.003521947,0.906,0.0563,0.000146,5.36e-05,0.571,-0.712,8.02,6.36,7.72,2.21
