X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
154,PNN,Q9H307,0.000136229,2.01e-05,0.161040334,0.034825882,6.47e-07,0.509,0.749,0.913,0.782,0.0379,2.82,3.24,-0.941,1.44,3.99
155,POR,P16435,0.277202625,0.973751878,0.540313123,0.87749614,3.32e-07,0.902,0.933,0.944,0.908,0.0273,-0.574,0.0172,0.322,0.0807,3.27
156,PPP1R15B,Q5SWA1,0.052427264,0.934544378,0.743878279,0.693378043,6.65e-14,0.851,0.932,0.951,0.9,3.47e-07,-0.915,-0.0377,-0.15,-0.181,5.48
157,PPP2R5D,Q14738,5.43e-17,0.050550854,0.004161196,0.581388208,0.453758655,1.23e-08,0.895,0.726,0.894,0.874,7.1,0.938,1.42,0.258,0.351
158,PRICKLE1,Q96MT3,0.032747097,1.8e-26,0.56319435,0.75953543,0.532877043,0.834,2.35e-11,0.945,0.903,0.88,1.05,14.4,0.277,-0.146,0.299
159,PRRC2A,P48634,9.19e-17,5.09e-12,0.984850325,0.006271907,0.390705196,2.11e-08,0.121,0.957,0.686,0.867,8.59,5.84,-0.0109,1.66,0.495
160,PRRC2B,Q5JSZ5,6.09e-10,5.17e-06,0.573947192,0.027194899,0.836661539,0.00595,0.71,0.946,0.77,0.898,5.73,3.65,0.384,1.56,-0.141
161,PRRC2C,Q9Y520,3.85e-18,1.09e-15,0.336819584,2.68e-12,0.001553367,3.81e-10,0.0134,0.933,0.00012,0.501,6.62,5.49,0.385,4.16,1.36
162,PTPN13,Q12923,0.00024097,7.83e-13,1.89e-13,2.86e-14,0.000115078,0.553,0.0732,1.64e-07,2.94e-06,0.277,2.83,7.59,8,8.55,3
163,RABGAP1,Q9Y3P9,0.611302817,0.092126909,0.055265918,0.117740365,5.23e-12,0.922,0.902,0.875,0.836,2.23e-05,0.273,0.921,1.05,0.853,5.45
164,RABL3,Q5HYI8,0.414287412,0.456942431,0.658583813,0.10964877,2.69e-07,0.912,0.922,0.949,0.833,0.0246,-0.346,-0.315,0.187,0.688,2.67
165,RAI14,Q9P0K7,0.777922139,2.33e-15,5.71e-13,7.91e-17,0.682269121,0.928,0.0159,5.71e-07,5.11e-09,0.89,0.176,8.37,6.89,9.39,0.256
166,RANBP3,Q9H6Z4,2.43e-12,2.65e-15,0.735669298,3.56e-08,3.05e-06,0.000306,0.0164,0.951,0.0245,0.0762,4.76,6.08,-0.154,3.18,2.51
167,RAPH1,Q70E73,1.07e-05,3.46e-11,0.000358862,1.42e-10,0.07969084,0.308,0.188,0.495,0.00149,0.791,2.96,5.48,2.28,5.18,1.04
168,RASAL2,Q9UJF2,0.515892861,3.01e-16,1.76e-07,1.7e-10,0.019335631,0.918,0.00911,0.0197,0.00164,0.703,0.416,9.18,4.12,5.66,1.55
169,RGPD3,A6NKT7,4.4e-11,4.26e-10,0.537992021,0.669045497,0.048632011,0.0017,0.299,0.944,0.899,0.762,6.7,6.11,0.442,0.306,1.45
170,ROR1,Q01973,0.544455676,0.357640468,5.34e-20,0.012129007,0.788505602,0.919,0.919,4.19e-14,0.726,0.896,0.446,0.68,14,1.93,0.197
171,ROR2,Q01974,0.921555382,0.028629425,0.000292798,3.34e-16,0.108392945,0.932,0.887,0.473,2.99e-08,0.807,0.0897,2.07,3.64,13.1,-1.49
172,RPAP3,Q9H6T3,8.16e-07,0.003705188,0.413009147,0.410261988,3.65e-10,0.147,0.858,0.938,0.882,0.000551,3.64,1.89,0.503,0.506,5.25
173,RRBP1,Q9P2E9,0.016974368,0.000411549,0.381790258,0.002041636,6.26e-15,0.807,0.819,0.936,0.611,3.08e-08,1.1,1.71,0.388,1.46,5.73
174,RTN4,Q9NQC3,0.115460622,0.23092338,0.752398178,0.740920784,3.94e-11,0.877,0.913,0.952,0.902,0.000109,-1.04,0.784,-0.204,0.214,6.09
175,SCRIB,Q14160,0.010907032,4.36e-17,9.42e-14,1.66e-16,1.79e-07,0.788,0.00425,7.53e-08,1.34e-08,0.02,1.72,9.89,7.6,9.46,4.16
176,SEC16A,O15027,1.45e-09,0.000105488,2.11e-07,8.35e-05,7.5e-05,0.00904,0.79,0.0219,0.364,0.245,3.74,2.01,2.96,2.04,2.06
177,SEC22B,O75396,0.810279002,0.117804769,0.52667828,0.513044813,9.34e-09,0.929,0.905,0.944,0.89,0.00392,-0.147,0.975,0.389,0.402,4.56
178,SEC24B,O95487,3.44e-07,2.37e-06,3.76e-09,1.53e-11,2.43e-16,0.108,0.684,0.00158,0.000382,4.75e-10,2.53,2.28,3.15,3.96,5.88
179,SEPTIN9,Q9UHD8,2.19e-05,3.51e-12,0.000586057,1.34e-11,0.001642555,0.364,0.11,0.546,0.000351,0.506,2.72,5.77,2.1,5.48,1.89
180,SH3D19,Q5HYK7,0.050125348,5.9e-08,0.022465014,2.48e-08,0.284757567,0.85,0.538,0.834,0.0206,0.854,1.29,4.36,1.51,4.54,0.688
181,SIRT2,Q8IXJ6,9.46e-10,0.216575392,0.119752679,0.734136808,5.89e-14,0.00735,0.913,0.904,0.902,3.15e-07,4.06,0.616,0.78,0.167,5.91
182,SKA3,Q8IX90,0.000556509,6.37e-14,0.803892899,0.549112281,0.868656826,0.614,0.0382,0.953,0.892,0.9,1.88,5.94,-0.123,0.299,0.0822
183,SLC12A2,P55011,0.695982718,0.022816181,0.00027689,7.72e-10,0.001255032,0.925,0.884,0.467,0.0037,0.482,-0.266,1.61,2.73,5.66,2.37
184,SLK,Q9H2G2,1.24e-11,2.99e-15,0.000288133,4.55e-13,1.17e-11,0.000826,0.0168,0.471,3.12e-05,4.3e-05,5.41,7.32,2.2,6.13,5.43
185,SMAP2,Q8WU79,0.701150147,0.140017514,0.329185173,1.11e-13,0.545542925,0.926,0.907,0.933,1.03e-05,0.881,0.187,0.731,0.479,5.72,0.295
186,SMPD4,Q9NXE4,0.275209253,0.228984291,0.284867259,0.588941323,8.81e-14,0.902,0.913,0.929,0.895,4.32e-07,-0.604,0.667,0.592,0.297,6.49
187,SNAP23,O00161,0.807294792,0.005638012,2.91e-10,1.19e-13,0.079052728,0.929,0.864,0.000258,1.09e-05,0.79,0.139,1.67,4.95,6.67,1.03
188,SNAP29,O95721,2.8e-06,1.69e-09,8.11e-10,2.22e-14,9.48e-13,0.216,0.367,0.000546,2.33e-06,5e-06,2.6,3.77,3.89,5.82,5.08
189,SOAT1,P35610,0.436700646,0.6609236,0.709742509,0.162368191,5.1e-07,0.914,0.927,0.95,0.849,0.0338,-0.42,0.236,0.2,-0.762,3.28
190,SPART,Q8N0X7,4.94e-06,4.75e-06,0.039113753,3.51e-08,1.2e-05,0.253,0.707,0.861,0.0243,0.132,3.72,3.73,1.48,4.86,3.52
191,SPTAN1,Q13813,0.018333191,0.149571381,0.013632358,4.3e-09,0.339119915,0.811,0.908,0.806,0.00843,0.861,-1.87,1.12,1.97,5.88,-0.733
192,SRP68,Q9UHB9,3.67e-10,5.43e-13,0.400727872,0.039407527,2.76e-12,0.0048,0.0657,0.937,0.788,1.3e-05,5.44,7.02,0.536,1.35,6.61
193,SRPRA,P08240,0.893224463,0.00969934,0.545462696,0.127244071,7.77e-08,0.932,0.872,0.945,0.839,0.0128,-0.0697,1.41,0.315,0.805,3.5
194,SRPRB,Q9Y5M8,0.177146819,0.191095736,0.23280609,0.974877518,2e-12,0.89,0.911,0.924,0.912,9.85e-06,0.713,0.69,0.629,-0.0164,5.5
195,STAU1,O95793,4.97e-12,0.001720723,0.837888335,0.17186128,0.000789511,0.00047,0.845,0.954,0.851,0.441,5.06,1.68,-0.102,0.688,1.81
196,STBD1,O95210,0.515959063,0.000171019,0.625910667,0.000323015,2.06e-11,0.918,0.801,0.948,0.471,6.71e-05,-0.313,2.01,-0.235,1.9,4.63
197,STIM1,Q13586,0.911311181,0.4463115,0.223615853,0.120850187,3.63e-09,0.932,0.922,0.922,0.837,0.00228,-0.0603,0.414,0.666,0.855,4.21
198,STIP1,P31948,0.00012274,0.010323078,0.023669663,0.140887951,1.19e-07,0.5,0.873,0.837,0.843,0.0161,3.1,-1.95,-1.7,-1.08,4.77
199,SUGT1,Q9Y2Z0,0.146308539,0.942718105,0.653292351,0.390720277,1.91e-15,0.884,0.932,0.949,0.881,6.7e-09,0.925,-0.045,0.282,0.541,8.47
200,SYAP1,Q96A49,0.052987775,2.63e-05,0.938278117,0.017415047,6.46e-07,0.852,0.756,0.956,0.746,0.0379,1.66,4.01,-0.0646,2.07,5.03
201,TACC1,O75410,0.825775919,0.013875033,0.665963993,0.204292024,4.87e-07,0.93,0.877,0.949,0.857,0.033,0.184,2.15,0.361,1.07,5.12
202,TANC1,Q9C0D5,1.76e-08,2.19e-23,2.04e-10,8.14e-15,4.4e-09,0.0315,1.5e-07,0.000198,8.51e-07,0.00254,3.37,11.3,4.09,5.98,3.59
203,TEX264,Q9Y6I9,0.318001477,0.527414671,0.356595791,0.066727908,2.55e-14,0.906,0.924,0.935,0.812,1.48e-07,-0.493,0.311,-0.455,-0.922,6.06
204,TIPRL,O75663,1.61e-14,6.21e-18,2.38e-10,4.54e-16,4.97e-14,6.53e-06,0.00198,0.000223,4.04e-08,2.73e-07,4.65,6.05,3.24,5.25,4.47
205,TJP1,Q07157,2.13e-13,2.59e-18,2.64e-14,7.37e-16,0.000298226,5.28e-05,0.00133,1.52e-08,6.67e-08,0.355,5.45,8,5.87,6.64,1.9
206,TJP2,A0A2R8YDH4,4.36e-08,3.9e-13,1.06e-05,1.17e-10,0.458501112,0.0474,0.0594,0.162,0.00134,0.874,3.31,5.36,2.44,4.3,0.356
207,TMEM131,Q92545,0.596531847,0.745655108,0.416615996,0.502505655,9.1e-11,0.922,0.929,0.938,0.889,0.000206,0.273,0.167,0.42,0.346,4.68
208,TMEM199,Q8N511,0.008434218,0.648276203,0.134498705,0.510593471,5.68e-14,0.776,0.927,0.907,0.89,3.06e-07,-1.27,-0.208,-0.694,-0.301,5.48
209,TNRC6B,Q9UPQ9,2.54e-13,1.2e-12,2.66e-09,6.48e-10,0.233144366,5.97e-05,0.0827,0.00124,0.00339,0.845,6.86,6.48,4.75,5.05,0.726
210,TOR1AIP1,Q5JTV8,0.457559375,7.37e-05,0.055183385,2.35e-05,5.11e-16,0.915,0.782,0.875,0.27,1.18e-09,0.351,2.1,0.927,2.28,6.65
211,TP53BP2,Q13625,1.98e-08,1.85e-13,0.000260716,4.39e-09,0.170814437,0.0333,0.0494,0.46,0.00853,0.83,4.97,7.94,2.79,5.32,0.958
212,TTC1,Q99614,0.059916741,0.437238852,0.946503804,0.48006709,4.79e-09,0.856,0.921,0.956,0.888,0.00266,1.2,0.484,-0.0416,0.44,4.76
213,TTK,P33981,2.8e-10,5.43e-14,0.330345359,2.7e-09,0.134801766,0.00425,0.0367,0.933,0.00681,0.818,3.94,5.46,0.445,3.58,0.69
214,UBAP2,Q5T6F2,1.7e-10,1.33e-08,0.000862813,4.97e-12,0.00893303,0.00335,0.469,0.585,0.000181,0.646,6.29,5.2,2.57,7.23,1.95
215,UBAP2L,Q14157,1.29e-09,7.89e-06,0.13156589,4.23e-08,0.112313414,0.0085,0.723,0.907,0.0266,0.809,4.29,2.75,-0.809,3.66,-0.853
216,UBE2O,Q9C0C9,0.00056367,0.000186745,0.321317417,0.599486885,3.45e-09,0.615,0.803,0.932,0.895,0.00222,2.79,3.08,0.74,0.39,5.77
217,UBXN4,Q92575,0.891924184,0.00480372,0.039951512,0.231258045,1.77e-14,0.932,0.862,0.862,0.862,1.01e-07,-0.0601,1.32,0.937,0.535,5.53
218,BLTP3B,A0JNW5,0.188119596,9.54e-14,0.811572127,0.284898978,0.840785341,0.891,0.0423,0.953,0.87,0.899,0.671,5.93,0.12,0.543,0.101
219,UNC45A,Q9H3U1,4.94e-10,2.28e-10,0.213138991,1.89e-05,5.12e-15,0.00543,0.27,0.921,0.255,2.42e-08,5.62,5.8,0.835,3.26,8.66
220,UNC5B,Q8IZJ1,0.400051439,0.845465292,0.976060503,1.14e-07,0.389122037,0.912,0.93,0.957,0.0416,0.867,-0.527,-0.121,-0.0187,4.12,-0.539
221,UNC5C,O95185,0.977668103,0.221678819,0.95915957,4.24e-08,0.778020882,0.934,0.913,0.957,0.0266,0.895,-0.0139,0.616,0.0255,3.46,-0.141
222,USP6NL,Q92738,0.751770835,7.33e-07,1.27e-08,2.66e-11,0.248800332,0.927,0.643,0.00361,0.000527,0.848,-0.213,4.02,4.93,6.41,0.782
223,UTP14A,Q9BVJ6,0.19539274,1.12e-18,0.885674978,0.453196211,0.364391824,0.892,0.000878,0.955,0.886,0.864,-0.582,7.67,0.0638,0.334,-0.405
224,UTRN,P46939,0.010548191,1.28e-11,3.71e-08,4.33e-13,0.618172604,0.786,0.151,0.00737,3.02e-05,0.886,2.15,7.88,5.6,8.95,0.4
225,VANGL1,Q8TAA9,0.773160874,3.53e-14,0.001185079,6.66e-06,7.49e-15,0.928,0.0334,0.616,0.19,3.77e-08,-0.243,10.3,2.96,4.44,10.9
226,VANGL2,Q9ULK5,0.60417031,1.3e-12,6.99e-06,1.65e-07,6.81e-23,0.922,0.0845,0.136,0.0488,3.96e-14,0.346,7.14,3.49,4.32,15.6
227,VAPA,Q9P0L0,0.026944238,0.30975451,0.072800555,0.012797572,4.06e-09,0.826,0.917,0.886,0.729,0.00243,-1.38,-0.615,-1.1,1.57,4.65
228,VAPB,O95292,0.086454241,0.026848324,0.928056792,0.002465819,1.93e-12,0.868,0.886,0.956,0.625,9.58e-06,-0.918,1.2,-0.0473,1.7,5.53
229,VCPIP1,Q96JH7,8.08e-11,1.72e-14,0.955809315,0.248354275,8.91e-05,0.00228,0.028,0.957,0.865,0.257,4.96,6.8,0.0301,0.633,2.39
230,VEZT,Q9HBM0,0.934327527,0.236558188,0.658629164,0.660791885,1.7e-08,0.933,0.914,0.949,0.898,0.00549,0.0448,0.65,0.24,0.239,3.94
231,VRK2,Q86Y07,0.405008891,0.772633876,0.934570324,0.277662122,1.61e-22,0.912,0.929,0.956,0.869,3.96e-14,-0.354,-0.122,0.0347,0.463,9.66
232,WDR83,Q9BRX9,5.3e-10,3.47e-13,0.121917481,0.055570963,2.78e-05,0.00559,0.0573,0.904,0.804,0.178,4.74,6.31,0.883,1.1,2.69
233,WWOX,Q9NZC7,0.000743444,7.52e-13,1.44e-13,5.03e-17,1.06e-19,0.634,0.0723,1.21e-07,2.9e-09,3.96e-14,2.1,6.24,6.62,8.71,10.6
234,XAB2,Q9HCS7,0.010048635,1.2e-13,0.68291337,0.833119372,0.502929315,0.784,0.0448,0.95,0.906,0.878,1.33,5.76,-0.201,0.104,0.331
235,XRN1,Q8IZH2,4.86e-22,4.59e-23,2.81e-19,8.79e-23,2.17e-16,6.81e-14,2.88e-07,4.19e-14,3.99e-14,4.16e-10,8.67,9.33,7.11,9.14,5.72
236,YEATS2,Q9ULM3,7.07e-11,3.31e-15,0.244478261,0.000137951,0.510900627,0.00214,0.0171,0.925,0.404,0.878,4.3,6.21,0.55,1.99,0.309
237,YKT6,O15498,0.744153136,2.06e-07,5.02e-11,2.29e-12,7.28e-14,0.927,0.592,6.11e-05,0.000107,3.71e-07,-0.188,3.69,5.37,6.05,6.86
238,YTHDF3,Q7Z739,2.42e-08,0.0007483,0.822103194,3.06e-08,0.480152457,0.0365,0.831,0.953,0.0228,0.876,4.04,2.08,0.128,4,0.402
239,ZBTB21,Q9ULJ3,0.92847895,1.54e-21,0.621269486,0.042328418,0.252278559,0.933,8.07e-06,0.947,0.791,0.848,0.0402,9.54,0.222,0.938,0.518
240,ZC3HAV1,Q7Z2W4,3.33e-14,1.32e-13,2.77e-14,2.92e-15,3.9e-14,1.13e-05,0.0457,1.6e-08,2.98e-07,2.21e-07,7.07,6.73,7.12,7.69,7.03
241,ZDHHC5,Q9C0B5,0.670948999,0.665195278,0.016520218,2.77e-10,0.277387265,0.925,0.927,0.817,0.00215,0.852,-0.289,0.294,1.7,5.9,-0.744
242,AAK1,Q2M2I8,2.05e-05,0.00090498,0.890545296,0.158508771,0.887337187,0.358,0.834,0.955,0.848,0.901,3.6,2.65,-0.101,1.05,-0.104
243,AASDHPPT,Q9NRN7,0.724569007,0.561094208,0.725150041,0.166791581,0.047479867,0.926,0.925,0.951,0.85,0.761,0.195,0.322,-0.194,0.775,1.13
244,ABCA12,Q86UK0,0.785830341,0.373325536,0.266881354,0.759288224,0.423440472,0.928,0.919,0.927,0.903,0.871,0.254,0.836,1.05,-0.286,0.751
245,ABCD3,P28288,0.264753745,0.026256174,0.54064517,0.877680787,0.902120413,0.901,0.886,0.944,0.908,0.901,0.968,1.98,-0.528,-0.132,-0.106
246,ABCE1,P61221,0.290952163,0.777959292,0.80545846,0.650609056,0.47957178,0.903,0.929,0.953,0.898,0.876,-0.926,0.245,-0.214,-0.395,0.617
247,ABI1,Q8IZP0,0.717199021,0.682665127,0.003434831,0.384486212,0.861322249,0.926,0.927,0.71,0.88,0.9,-0.143,-0.161,1.23,0.344,0.0688
248,ABLIM1,O14639,0.176955376,0.000171697,0.004975539,7.56e-05,0.233110963,0.89,0.801,0.739,0.357,0.845,0.786,2.4,1.71,2.56,0.692
249,ABR,Q12979,0.468262545,1.6e-08,0.504265748,0.11354701,0.513082004,0.916,0.477,0.943,0.835,0.879,-0.361,3.61,0.333,0.8,0.326
250,ACBD3,Q9H3P7,0.287004591,0.620818031,0.008200024,1.87e-07,0.000242046,0.903,0.926,0.774,0.0514,0.337,-0.755,0.349,1.96,4.53,2.86
251,ACLY,P53396,0.507558821,0.014208422,0.412127103,0.482923268,0.963198006,0.918,0.878,0.938,0.888,0.904,-0.546,-2.11,-0.677,0.578,-0.0379
252,ADAR,P55265,0.703429115,0.119599093,0.072495466,0.118543892,0.048694814,0.926,0.905,0.886,0.836,0.762,0.276,-1.15,-1.33,-1.15,-1.47
253,ADRM1,Q16186,0.492611131,0.00713333,0.51906637,0.175900711,0.56893629,0.917,0.868,0.943,0.852,0.883,-0.436,-1.8,-0.41,-0.869,-0.362
254,AGFG1,P52594,0.926717212,0.359677176,0.725804503,0.029840682,0.699588961,0.933,0.919,0.951,0.774,0.891,-0.0528,0.529,-0.202,1.29,-0.222
255,AGTPBP1,Q9UPW5,0.507029681,0.000497371,0.607507849,0.599769611,0.183807014,0.918,0.823,0.947,0.895,0.833,0.303,1.74,0.234,0.239,0.613
256,AHCY,P23526,0.282863498,0.008315611,0.120514997,0.473070442,0.450515606,0.902,0.87,0.904,0.887,0.873,-1.04,-2.66,-1.51,-0.689,-0.724
257,AHCYL1,O43865,0.891065121,0.059811506,0.363129952,0.560936145,0.000445997,0.932,0.897,0.935,0.893,0.39,-0.0917,1.29,0.613,0.39,2.58
258,AHSA1,O95433,0.996810517,0.588398435,0.024112979,0.092342062,0.654374217,0.934,0.925,0.838,0.826,0.889,-0.00211,-0.287,-1.24,-0.909,-0.237
259,AIFM1,O95831,0.064622843,0.081495185,0.094319359,0.654812636,0.501135221,0.858,0.901,0.896,0.898,0.878,-1.05,-0.987,-0.946,0.248,-0.374
260,AKAP11,Q9UKA4,0.626986206,0.710251093,0.467125343,0.9830148,2.42e-06,0.923,0.928,0.941,0.912,0.0691,-0.256,0.196,0.384,-0.0112,2.94
261,ALDH18A1,P54886,0.260117282,0.024495571,0.988872783,0.206106055,0.697866872,0.9,0.885,0.957,0.858,0.891,-0.786,-1.61,-0.00964,-0.885,-0.269
262,ALDOA,P04075,0.185535514,0.003056521,0.144225093,0.630896955,0.784573247,0.891,0.855,0.91,0.897,0.896,-2.01,-4.74,-2.22,-0.721,-0.41
263,ALYREF,Q86V81,0.450730844,0.042165085,0.244401768,0.921185523,0.060916769,0.915,0.892,0.925,0.91,0.775,-0.551,-1.52,-0.855,0.0719,-1.4
264,AMOT,Q4VCS5,0.148649703,9.59e-05,0.002641678,0.153971344,0.887798551,0.885,0.788,0.689,0.847,0.901,0.856,2.56,1.88,0.845,-0.0824
265,ANKHD1-EIF4EBP3,H7C0V5,4.82e-07,3.4e-05,0.730963191,0.048210453,0.863855855,0.122,0.763,0.951,0.797,0.9,3.83,2.95,0.215,1.27,0.107
266,ANKRD26,Q9UPS8,0.263953245,4.22e-08,0.010525876,1.54e-06,0.466554393,0.901,0.523,0.791,0.117,0.875,-1.12,6.89,2.67,5.7,-0.726
267,ANXA2,P07355,0.730017804,0.096098597,0.150532159,0.493316389,0.337148606,0.927,0.903,0.911,0.889,0.861,-0.236,-1.16,-0.999,0.47,0.661
268,ANXA5,P08758,0.120373676,0.05414822,0.158017867,0.609047288,0.383990562,0.878,0.896,0.912,0.896,0.867,-1.54,-1.93,-1.4,-0.499,-0.853
269,ANXA6,P08133,0.060258472,0.857834351,0.830767395,0.772788502,0.735679552,0.856,0.931,0.954,0.904,0.893,-1.94,-0.181,0.215,0.291,-0.34
270,AP3B1,O00203,0.01191728,0.000942157,0.205394379,0.539547845,4.9e-06,0.792,0.835,0.92,0.892,0.0929,1.99,2.72,0.969,0.465,4.06
271,AP3D1,O14617,6.33e-08,2e-08,0.122917208,0.000524048,1.26e-05,0.0556,0.488,0.904,0.509,0.134,3.81,4.03,0.88,2.13,2.83
272,AP3S1,Q92572,0.183817507,0.130497533,0.282051266,0.231577944,0.075670607,0.891,0.906,0.929,0.862,0.788,0.818,0.934,-0.659,0.734,-1.1
273,APRT,P07741,0.041767525,0.019797146,0.15973488,0.192274024,0.340101824,0.843,0.882,0.913,0.855,0.861,-2.12,-2.44,-1.44,-1.33,-0.968
274,ARCN1,P48444,0.198722742,0.022427517,0.487985313,0.431985392,0.016427675,0.893,0.884,0.942,0.884,0.691,1.2,2.19,-0.641,0.727,2.31
275,ARF1,P84077,0.542190086,0.171382512,0.315300621,0.66869673,0.514706837,0.919,0.91,0.932,0.899,0.879,0.517,-1.17,-0.855,0.362,0.552
276,ARF5,P84085,0.13926027,0.4827208,0.462413876,0.128173933,0.129513124,0.883,0.923,0.941,0.84,0.816,0.696,-0.327,-0.342,0.717,0.715
277,ARFGAP1,Q8N6T3,2.69e-07,3.86e-09,0.375655206,2.46e-06,1.59e-06,0.0989,0.408,0.936,0.138,0.0574,2.6,3.19,0.366,2.3,2.36
278,ARFGAP3,Q9NP61,0.51531367,0.019866125,0.486332189,0.004405269,0.005259295,0.918,0.882,0.942,0.664,0.604,0.471,1.75,0.504,2.18,2.14
279,ARG1,P05089,0.058198847,0.817449878,0.298489833,0.501612227,0.182159724,0.855,0.93,0.93,0.889,0.833,-1.44,-0.171,0.776,-0.499,-1
280,ARGLU1,Q9NWB6,0.498256807,0.287359475,0.047913417,0.867846783,0.419483672,0.917,0.916,0.869,0.908,0.87,-0.412,0.651,1.23,-0.101,0.492
281,ARHGAP12,Q8IWW6,0.165123171,0.039884181,0.059717452,0.000606347,0.138105033,0.888,0.892,0.878,0.521,0.819,0.741,1.12,1.02,1.97,0.793
282,ARHGAP32,A7KAX9,0.039242082,8.39e-09,0.001048198,0.000468912,0.434929248,0.841,0.446,0.604,0.501,0.872,1.61,5.65,2.68,2.9,0.592
283,ARHGDIA,P52565,0.283744502,0.003051591,0.003226514,0.181772296,0.369623008,0.903,0.855,0.705,0.853,0.865,-1.18,-3.45,-3.43,-1.48,-0.985
284,ARL6IP5,O75915,0.143298875,0.967548086,0.776312909,0.713921103,0.013990092,0.883,0.932,0.952,0.901,0.68,-0.977,0.0267,-0.187,-0.241,1.69
285,ARPC4-TTLL3,A0A0A6YYG9,0.034582269,0.033622191,0.245764399,0.54906503,0.153336996,0.836,0.889,0.925,0.892,0.825,-1.54,-1.55,-0.826,-0.423,-1.02
286,ASCC3,Q8N3C0,0.000323254,0.003835929,0.151097625,0.327280811,0.385098869,0.575,0.858,0.911,0.874,0.867,2.17,1.69,-0.798,-0.54,-0.478
287,ATG2B,Q96BY7,0.974825692,1.2e-07,0.363125471,0.924406536,0.000432038,0.934,0.57,0.935,0.91,0.387,0.019,3.98,0.552,0.0573,2.33
288,ATP1A1,P05023,0.799805751,0.10483556,0.16952305,0.963817343,0.363454228,0.929,0.904,0.914,0.911,0.864,-0.237,-1.55,-1.3,0.0424,0.855
289,ATP2A2,P16615,0.690338931,0.016040478,0.056977476,0.477002253,0.039524367,0.925,0.879,0.877,0.887,0.75,0.352,-2.22,-1.72,0.63,1.87
290,ATP2B3,Q16720,0.267027684,0.394653509,0.197252745,0.006636808,0.003003024,0.901,0.92,0.919,0.69,0.558,-0.514,0.393,0.599,1.32,1.45
291,ATP5F1B,P06576,0.939513166,0.002858278,0.463679338,0.831481295,0.392856321,0.933,0.854,0.941,0.906,0.868,-0.0896,-3.76,-0.868,0.251,1.01
292,ATP5F1C,P36542,0.046468581,0.002572395,0.002117001,0.134430309,0.099558647,0.847,0.852,0.67,0.841,0.803,-1.87,-2.95,-3.01,-1.39,-1.54
293,ATP5PB,P24539,0.014931417,0.038313523,0.218869203,0.363595858,0.398470174,0.802,0.891,0.922,0.878,0.868,-1.93,-1.62,-0.941,-0.692,-0.642
294,ATP5ME,P56385,0.002460085,0.000396335,0.000839862,0.911504138,0.001121999,0.71,0.818,0.583,0.909,0.472,-2.77,-3.33,-3.1,0.095,-3.02
295,ATP5PF,P18859,0.002599028,0.063477594,0.01938104,0.001686067,0.014129699,0.713,0.898,0.826,0.598,0.68,-2.24,-1.33,-1.7,-2.36,-1.79
296,ATP5MF-PTCD1,G3V325,0.57673391,0.119397816,0.006241618,0.888089392,0.762514705,0.921,0.905,0.756,0.908,0.895,-0.429,-1.22,-2.22,-0.108,-0.232
297,ATP5PO,P48047,0.013833592,0.016470374,0.043427236,0.273862117,0.79896825,0.799,0.88,0.865,0.868,0.897,-2.26,-2.19,-1.82,-0.967,-0.223
298,BASP1,P80723,0.013991218,0.936598091,0.281481941,0.001834477,0.917900114,0.799,0.932,0.929,0.604,0.902,-0.8,0.0248,0.338,1.04,0.0321
299,BIRC6,Q9NR09,3.07e-05,0.000483473,0.070601106,0.092110721,0.129181308,0.39,0.822,0.885,0.826,0.816,2.8,2.25,1.09,1.01,0.909
300,BOLA2,Q9H3K6,0.541397021,0.817614749,0.990624868,0.182848683,0.068242573,0.919,0.93,0.957,0.853,0.782,-0.32,-0.12,-0.00614,-0.705,-0.976
301,BOP1,Q14137,0.095265667,0.936759463,0.80887421,0.145944282,0.441001122,0.871,0.932,0.953,0.845,0.872,-0.712,0.0332,-0.101,-0.618,0.324
302,BRD4,O60885,0.000470733,8.77e-07,0.569083608,0.874539881,0.975125105,0.602,0.649,0.946,0.908,0.905,1.78,2.76,0.265,0.0734,0.0145
303,BTF3,P20290,0.054885375,0.014244755,0.027975576,0.322129332,0.095580066,0.853,0.878,0.845,0.874,0.8,-1.88,-2.45,-2.17,-0.952,-1.62
304,ARPIN-AP3S2,A0A0A6YYH1,0.048681998,1.43e-05,0.011811558,0.000873289,0.005519384,0.849,0.74,0.798,0.549,0.608,1.66,4.11,2.17,2.97,2.41
305,HROB,Q8N3J3,0.600002308,2.31e-08,0.728205188,0.977635057,0.873564642,0.922,0.495,0.951,0.912,0.9,-0.292,3.97,0.194,0.0156,0.0886
306,TRIR,Q9BQ61,0.33888671,0.000234849,0.064055371,0.169796528,0.268040495,0.907,0.808,0.881,0.851,0.851,0.812,3.43,1.6,1.17,0.942
307,C1QBP,Q07021,0.058070353,0.000781418,0.010825468,0.652304671,0.246622482,0.855,0.831,0.792,0.898,0.847,-2.33,-4.38,-3.2,-0.541,-1.4
