X,GeneID,MajorityProteinIDs,U1,S1,B1,U2,S2,B2,U3,S3,B3,U4,S4,B4,U5,S5,B5,U6,S6,B6,U7,S7,B7,U8,S8,B8,U9,S9,B9,U10,S10,B10,U11,S11,B11,C1,C2,C3,C4,C5
4513,SPNS1,Q9H2V7,0,0,0,0,0,0,87466,0,0,22309,0,0,107060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57998,0,0,0,0,0,0,0
4514,MS4A6A,Q9H2W1,40000,0,0,0,0,0,0,0,0,563400,0,0,0,0,0,0,0,0,158570,0,0,249930,0,0,311200,0,0,77849,0,0,93234,0,0,0,0,0,0,0
4515,MRPL46,Q9H2W6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4516,CLEC4M,Q9H2X3,0,0,0,0,0,0,59722,0,0,46928,30916,0,0,0,0,0,0,0,68036,0,0,3622.8,0,0,815100,0,0,17095,0,0,41016,0,0,0,0,0,0,0
4517,PNN,Q9H307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4518,TTYH1,Q9H313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132430,0
4519,TMEM245,Q9H330,41844,0,0,0,0,0,58583,0,0,70127,0,0,0,0,0,173160,0,0,4270,0,0,0,0,0,0,0,0,0,0,0,46784,0,0,3975.9,0,0,0,0
4520,KCTD10,Q9H3F6,0,0,0,0,0,0,0,0,0,4576.7,0,0,3351.3,0,0,22415,0,0,0,0,0,3972.2,0,0,19153,0,0,0,0,0,0,0,0,0,0,10781,0,0
4521,CPVL,Q9H3G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4522,BOLA2,Q9H3K6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15112,0,0,0,0,0,58235,0,0,0,0,0,2676.1,0,0,0,0,0,0,0
4523,TXNIP,Q9H3M7,121790,14389,0,360570,53222,0,301800,72901,0,261010,34873,0,101490,20714,0,0,75955,0,407270,149930,0,1189000,73294,0,3294800,87568,0,48671,16078,0,260410,44917,0,0,0,0,10054,0
4524,TMX1,Q9H3N1,1040900,131890,0,712580,43129,0,706680,31936,0,484500,72908,0,730590,23068,0,681430,36738,0,203790,0,0,9537.6,0,0,11545,0,0,67569,0,0,211330,28660,0,110760,0,239010,0,33884
4525,ACBD3,Q9H3P7,0,0,0,15154,0,0,0,0,0,13228,0,0,38492,0,0,25871,0,0,0,0,0,8628.7,0,0,12975,0,0,0,0,0,0,0,0,0,0,0,0,0
4526,CDC42EP4,Q9H3Q1,43335,0,0,0,0,0,41054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26271,0,0,0,0,0,0,0,0,0,0,0,0,0
4527,MUC13,Q9H3R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536000,0,1905500,0
4528,PTPN23,Q9H3S7,0,0,0,0,0,0,47516,0,0,129610,0,0,90581,0,0,109910,41942,0,205790,0,0,168440,0,0,173420,0,0,215300,0,0,61865,0,0,0,0,317070,120450,0
4529,UNC45A,Q9H3U1,0,0,0,69962,0,0,44531,0,0,45581,0,0,90433,0,0,47789,0,0,12785,0,0,79611,0,0,100760,0,0,9127.2,0,0,7523,0,0,8480.1,0,0,9117.8,0
